UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Machine Name,Vibration [mm/s]
92,L15092,L,301.9,310.4,1545,44.1,79,0,0,0,0,0,0,Cooling Tower Fan-02,1.12
93,L15093,L,300.3,308.6,1573,40.7,44,0,0,0,0,0,0,Scrap Shredder-01,0.96
94,L15094,L,302.3,312.4,1322,60.2,115,1,0,0,0,1,0,Scrap Shredder-02,5.05
95,M15095,M,300.9,309.7,1467,48.6,57,0,0,0,0,0,0,Hydraulic Press-01,1.52
96,M15096,M,303.6,312.2,1421,51.2,164,0,0,0,0,0,0,Hydraulic Press-02,1.55
97,L15097,L,297.4,308.6,1441,42.8,11,0,0,0,0,0,0,Pellet Screening Unit-01,1.28
98,M15098,M,299.0,309.4,1571,40.7,41,0,0,0,0,0,0,Electric Arc Furnace-01,0.54
99,L15099,L,302.4,311.4,1496,49.0,149,0,0,0,0,0,0,Pellet Screening Unit-02,1.14
100,L15100,L,299.9,310.3,1567,47.1,62,0,0,0,0,0,0,Water Pump Station-01,1.68
101,H15101,H,301.9,311.0,1430,48.0,94,0,0,0,0,0,0,Heavy Press-02,1.11
102,L15102,L,300.8,310.9,1388,51.2,83,0,0,0,0,0,0,Conveyor Belt-01,1.62
103,H15103,H,301.3,309.5,1518,42.3,75,0,0,0,0,0,0,Heavy Press-03,1.66
104,H15104,H,299.4,308.9,1565,45.3,31,0,0,0,0,0,0,BOF Converter-01,1.05
105,M15105,M,305.4,313.9,1217,63.5,210,0,0,0,0,0,0,Electric Arc Furnace-02,0.94
106,L15106,L,304.3,313.5,1300,60.2,190,0,0,0,0,0,0,Conveyor Belt-02,1.85
107,H15107,H,305.4,313.9,1238,60.8,203,0,0,0,0,0,0,BOF Converter-02,2.11
108,H15108,H,299.4,309.0,1414,46.3,25,0,0,0,0,0,0,Slab Caster-01,1.16
109,M15109,M,305.2,314.7,1200,67.9,224,0,0,0,0,0,0,Billet Caster-01,1.53
110,M15110,M,303.8,313.1,1395,52.2,173,0,0,0,0,0,0,Billet Caster-02,1.5
111,L15111,L,303.6,312.6,1400,52.3,170,0,0,0,0,0,0,Conveyor Belt-03,0.72
112,H15112,H,305.7,314.7,1200,67.7,232,0,0,0,0,0,0,Slab Caster-02,0.99
113,M15113,M,300.5,309.3,1634,37.5,65,0,0,0,0,0,0,Galvanizing Line-01,0.96
114,L15114,L,298.1,308.7,1396,47.7,1,0,0,0,0,0,0,Conveyor Belt-04,2.36
115,M15115,M,301.4,310.3,1529,43.1,123,0,0,0,0,0,0,Galvanizing Line-02,2.3
116,H15116,H,304.9,314.4,1303,64.7,206,0,0,0,0,0,0,Torpedo Ladle-01,1.45
117,L15117,L,298.5,308.9,1436,41.3,6,0,0,0,0,0,0,Grinding Machine-01,1.87
118,M15118,M,301.3,310.2,1404,50.5,73,0,0,0,0,0,0,Annealing Furnace-01,2.47
119,M15119,M,300.7,309.9,1527,42.5,125,0,0,0,0,0,0,Annealing Furnace-02,1.66
120,L15120,L,303.0,311.9,1308,61.8,123,1,0,0,0,1,0,Grinding Machine-02,5.4
121,M15121,M,302.2,310.5,1512,46.1,127,0,0,0,0,0,0,CNC Machine-01,1.31
122,L15122,L,305.3,313.5,1328,59.0,192,0,0,0,0,0,0,Grinding Machine-03,2.41
123,M15123,M,300.8,311.0,1524,42.7,87,0,0,0,0,0,0,CNC Machine-02,1.23
124,L15124,L,299.7,308.9,1639,36.9,28,0,0,0,0,0,0,Milling Machine-01,2.33
125,L15125,L,303.9,312.8,1398,52.5,165,0,0,0,0,0,0,Milling Machine-02,1.79
126,H15126,H,299.6,308.5,1542,46.4,34,0,0,0,0,0,0,Torpedo Ladle-02,1.19
127,M15127,M,305.6,314.4,1244,68.8,221,0,0,0,0,0,0,CNC Machine-03,1.84
128,L15128,L,302.7,311.4,1426,47.7,146,0,0,0,0,0,0,Milling Machine-03,0.32
129,L15129,L,298.0,308.9,1454,39.9,2,0,0,0,0,0,0,Drill Press-01,1.6
130,H15130,H,303.6,312.5,1272,64.7,129,1,0,1,1,0,0,Lime Kiln-01,4.27
131,H15131,H,299.5,309.4,1460,43.5,31,0,0,0,0,0,0,Lime Kiln-02,0.68
132,L15132,L,299.7,308.9,1656,41.0,30,0,0,0,0,0,0,Drill Press-02,0.73
133,M15133,M,303.7,312.9,1293,59.5,188,0,0,0,0,0,0,CNC Machine-04,0.75
134,H15134,H,301.9,311.1,1527,43.1,135,0,0,0,0,0,0,Ore Sintering Machine-01,1.77
135,M15135,M,301.7,311.3,1494,45.1,124,0,0,0,0,0,0,Cold Rolling Mill-01,1.65
136,L15136,L,298.2,308.7,1466,50.2,12,0,0,0,0,0,0,Drill Press-03,1.76
137,L15137,L,302.6,311.1,1469,47.3,143,0,0,0,0,0,0,Cooling Tower Fan-01,1.41
138,L15138,L,299.5,308.4,1651,42.9,25,0,0,0,0,0,0,Cooling Tower Fan-02,1.61
139,M15139,M,298.3,308.6,1670,35.3,15,0,0,0,0,0,0,Cold Rolling Mill-02,1.1
140,M15140,M,301.4,309.9,1570,44.3,80,0,0,0,0,0,0,Cold Rolling Mill-03,0.3
141,M15141,M,303.3,312.6,1418,52.7,164,0,0,0,0,0,0,Lathe Machine-01,1.32
142,H15142,H,305.7,314.4,1200,76.2,189,1,0,1,0,1,0,Ore Sintering Machine-02,4.32
143,M15143,M,306.2,315.7,1200,77.8,216,1,1,0,0,0,0,Lathe Machine-02,3.94
144,L15144,L,304.7,313.7,1284,60.8,197,0,0,0,0,0,0,Scrap Shredder-01,0.91
145,H15145,H,299.4,308.6,1560,44.0,34,0,0,0,0,0,0,Coke Oven Battery-01,0.84
146,M15146,M,306.3,314.5,1200,71.1,235,0,0,0,0,0,0,Lathe Machine-03,1.0
147,H15147,H,299.7,309.2,1552,44.8,41,0,0,0,0,0,0,Blast Furnace-01,0.7
148,L15148,L,302.0,310.5,1506,46.6,117,0,0,0,0,0,0,Scrap Shredder-02,0.89
149,M15149,M,301.5,310.2,1626,45.8,77,0,0,0,0,0,0,Hydraulic Press-01,1.78
150,H15150,H,303.8,312.6,1352,56.9,174,0,0,0,0,0,0,Blast Furnace-02,2.14
151,H15151,H,301.4,310.8,1527,43.4,131,0,0,0,0,0,0,Blast Furnace-03,0.86
152,H15152,H,300.1,309.9,1663,39.8,48,0,0,0,0,0,0,Hot Rolling Mill-01,1.02
153,M15153,M,305.7,314.7,1211,68.4,220,0,0,0,0,0,0,Hydraulic Press-02,1.75
154,M15154,M,301.3,309.9,1507,43.3,119,0,0,0,0,0,0,Electric Arc Furnace-01,2.02
155,L15155,L,302.4,311.2,1511,45.0,140,0,0,0,0,0,0,Pellet Screening Unit-01,0.33
156,L15156,L,304.2,312.5,1396,53.7,174,0,0,0,0,0,0,Pellet Screening Unit-02,1.24
157,M15157,M,306.6,315.6,1200,76.9,213,1,1,0,0,0,0,Electric Arc Furnace-02,3.85
158,H15158,H,302.1,310.8,1457,49.7,97,0,0,0,0,0,0,Hot Rolling Mill-02,1.5
159,H15159,H,305.5,314.8,1200,69.7,233,0,0,0,0,0,0,Hot Rolling Mill-03,1.03
160,H15160,H,303.5,312.4,1412,50.8,157,0,0,0,0,0,0,Heavy Press-01,1.62
161,M15161,M,303.7,312.5,1392,55.1,176,0,0,0,0,0,0,Billet Caster-01,0.73
162,L15162,L,302.4,312.2,1496,49.6,150,0,0,0,0,0,0,Water Pump Station-01,1.07
163,L15163,L,298.6,308.4,1541,50.9,12,0,0,0,0,0,0,Conveyor Belt-01,1.45
164,M15164,M,299.7,309.0,1539,50.0,44,0,0,0,0,0,0,Billet Caster-02,1.3
165,L15165,L,299.9,308.7,1515,48.7,40,0,0,0,0,0,0,Conveyor Belt-02,0.54
166,M15166,M,301.9,310.6,1533,47.0,120,0,0,0,0,0,0,Galvanizing Line-01,1.53
167,M15167,M,300.4,309.1,1619,41.4,40,0,0,0,0,0,0,Galvanizing Line-02,0.81
168,L15168,L,307.0,316.3,1200,82.4,247,1,0,0,0,1,0,Conveyor Belt-03,2.88
169,L15169,L,301.2,310.7,1396,52.2,86,0,0,0,0,0,0,Conveyor Belt-04,1.61
170,L15170,L,299.5,309.4,1653,38.2,31,0,0,0,0,0,0,Grinding Machine-01,0.3
171,M15171,M,306.3,315.6,1200,80.1,220,1,1,0,0,0,0,Annealing Furnace-01,3.89
172,L15172,L,298.5,308.5,1369,39.6,2,0,0,0,0,0,0,Grinding Machine-02,0.82
173,M15173,M,305.6,314.3,1204,68.5,222,0,0,0,0,0,0,Annealing Furnace-02,0.89
174,M15174,M,300.0,310.0,1588,40.3,60,0,0,0,0,0,0,CNC Machine-01,1.35
175,L15175,L,302.5,311.5,1468,46.6,142,0,0,0,0,0,0,Grinding Machine-03,0.9
176,M15176,M,304.0,312.4,1232,69.2,144,1,1,0,0,0,0,CNC Machine-02,1.13
177,L15177,L,302.6,310.9,1381,54.2,116,0,0,0,0,0,0,Milling Machine-01,0.49
178,M15178,M,300.7,309.7,1460,45.9,58,0,0,0,0,0,0,CNC Machine-03,2.09
179,H15179,H,299.6,309.0,1559,45.3,36,0,0,0,0,0,0,Heavy Press-02,1.01
180,L15180,L,300.0,308.7,1647,37.6,28,0,0,0,0,0,0,Milling Machine-02,0.93
181,M15181,M,302.2,311.3,1434,50.7,108,0,0,0,0,0,0,CNC Machine-04,1.52
182,L15182,L,298.5,308.8,1451,40.4,10,0,0,0,0,0,0,Milling Machine-03,1.31
183,M15183,M,305.4,313.7,1267,62.5,213,0,0,0,0,0,0,Cold Rolling Mill-01,2.17
184,M15184,M,299.2,308.6,1524,45.1,43,0,0,0,0,0,0,Cold Rolling Mill-02,1.5
185,M15185,M,303.8,313.3,1380,55.3,176,0,0,0,0,0,0,Cold Rolling Mill-03,1.31
186,M15186,M,305.0,313.5,1336,59.3,188,0,0,0,0,0,0,Lathe Machine-01,1.17
187,H15187,H,303.5,312.8,1320,55.9,179,0,0,0,0,0,0,Heavy Press-03,1.17
188,L15188,L,301.7,310.6,1581,45.4,122,0,0,0,0,0,0,Drill Press-01,1.49
189,L15189,L,298.0,308.2,1404,46.1,0,0,0,0,0,0,0,Drill Press-02,2.12
190,L15190,L,299.2,308.6,1598,41.1,26,0,0,0,0,0,0,Drill Press-03,2.03
191,L15191,L,298.0,308.9,1532,42.2,21,0,0,0,0,0,0,Cooling Tower Fan-01,0.73
192,H15192,H,300.1,309.0,1640,40.9,51,0,0,0,0,0,0,BOF Converter-01,1.94
193,H15193,H,299.7,309.1,1629,41.9,55,0,0,0,0,0,0,BOF Converter-02,1.88
194,M15194,M,299.2,309.8,1510,47.4,40,0,0,0,0,0,0,Lathe Machine-02,1.29
195,L15195,L,300.1,309.7,1411,47.5,47,0,0,0,0,0,0,Cooling Tower Fan-02,0.83
196,H15196,H,299.7,309.9,1642,41.3,51,0,0,0,0,0,0,Slab Caster-01,1.75
197,M15197,M,300.9,310.5,1634,48.9,74,0,0,0,0,0,0,Lathe Machine-03,1.09
198,L15198,L,303.3,312.4,1376,53.0,163,0,0,0,0,0,0,Scrap Shredder-01,2.23
199,L15199,L,299.9,308.7,1422,48.1,38,0,0,0,0,0,0,Scrap Shredder-02,1.35
200,L15200,L,298.7,308.8,1390,46.2,4,0,0,0,0,0,0,Pellet Screening Unit-01,1.95
201,H15201,H,305.9,314.7,1200,71.6,191,1,0,1,0,1,0,Slab Caster-02,4.03
202,L15202,L,299.8,308.5,1605,34.0,25,0,0,0,0,0,0,Pellet Screening Unit-02,2.23
203,L15203,L,301.1,309.7,1567,43.9,61,0,0,0,0,0,0,Water Pump Station-01,0.52
204,M15204,M,301.0,310.1,1563,42.1,74,0,0,0,0,0,0,Hydraulic Press-01,0.39
205,H15205,H,304.2,313.0,1255,67.7,159,1,0,0,1,1,0,Torpedo Ladle-01,2.21
206,M15206,M,301.6,310.9,1500,40.0,89,0,0,0,0,0,0,Hydraulic Press-02,0.3
207,H15207,H,302.3,310.9,1359,52.6,91,1,1,0,0,0,0,Torpedo Ladle-02,2.91
208,M15208,M,303.6,312.5,1377,55.3,174,0,0,0,0,0,0,Electric Arc Furnace-01,0.76
209,M15209,M,301.9,310.1,1497,47.1,123,0,0,0,0,0,0,Electric Arc Furnace-02,1.97
210,L15210,L,299.7,309.4,1448,47.8,43,0,0,0,0,0,0,Conveyor Belt-01,0.73
211,H15211,H,299.8,309.1,1528,45.8,40,0,0,0,0,0,0,Lime Kiln-01,0.58
212,M15212,M,300.5,310.0,1401,49.2,67,0,0,0,0,0,0,Billet Caster-01,1.68
213,L15213,L,298.0,308.7,1562,42.1,15,0,0,0,0,0,0,Conveyor Belt-02,1.0
214,L15214,L,301.6,310.2,1531,45.0,120,0,0,0,0,0,0,Conveyor Belt-03,2.13
215,M15215,M,305.6,314.5,1200,72.4,236,0,0,0,0,0,0,Billet Caster-02,0.3
216,M15216,M,304.8,313.5,1331,56.8,191,0,0,0,0,0,0,Galvanizing Line-01,0.86
217,H15217,H,304.8,313.7,1290,60.5,198,0,0,0,0,0,0,Lime Kiln-02,0.96
218,H15218,H,300.2,309.0,1623,43.0,51,0,0,0,0,0,0,Ore Sintering Machine-01,2.04
219,L15219,L,301.3,310.8,1580,48.1,87,0,0,0,0,0,0,Conveyor Belt-04,1.07
220,M15220,M,302.4,311.0,1474,48.0,133,0,0,0,0,0,0,Galvanizing Line-02,0.3
221,M15221,M,302.5,311.8,1278,58.1,110,1,0,0,1,0,0,Annealing Furnace-01,3.13
222,L15222,L,298.0,308.7,1493,38.8,19,0,0,0,0,0,0,Grinding Machine-01,1.57
223,L15223,L,297.9,309.0,1589,39.0,11,0,0,0,0,0,0,Grinding Machine-02,0.54
224,L15224,L,305.5,314.5,1200,65.6,223,0,0,0,0,0,0,Grinding Machine-03,1.55
225,M15225,M,298.3,309.3,1605,37.1,25,0,0,0,0,0,0,Annealing Furnace-02,1.74
226,L15226,L,300.1,309.9,1580,42.2,67,0,0,0,0,0,0,Milling Machine-01,0.3
227,M15227,M,306.3,315.3,1200,79.0,213,1,1,0,0,0,0,CNC Machine-01,3.99
228,L15228,L,300.0,309.0,1445,47.5,42,0,0,0,0,0,0,Milling Machine-02,1.98
229,L15229,L,298.2,309.1,1555,39.1,16,0,0,0,0,0,0,Milling Machine-03,1.2
230,L15230,L,299.4,308.9,1633,41.2,27,0,0,0,0,0,0,Drill Press-01,1.23
231,M15231,M,304.8,313.6,1260,65.7,207,0,0,0,0,0,0,CNC Machine-02,1.54
232,L15232,L,299.9,309.2,1636,43.9,46,0,0,0,0,0,0,Drill Press-02,0.51
233,H15233,H,299.8,309.2,1412,45.1,33,0,0,0,0,0,0,Ore Sintering Machine-02,0.71
234,M15234,M,306.0,314.5,1200,72.5,234,0,0,0,0,0,0,CNC Machine-03,0.75
235,L15235,L,299.9,309.7,1618,40.7,29,0,0,0,0,0,0,Drill Press-03,2.03
236,M15236,M,299.2,308.9,1573,40.3,46,0,0,0,0,0,0,CNC Machine-04,0.8
237,M15237,M,299.8,309.2,1610,42.4,43,0,0,0,0,0,0,Cold Rolling Mill-01,0.47
238,L15238,L,305.7,313.9,1200,71.1,179,1,1,1,0,0,0,Cooling Tower Fan-01,4.77
239,M15239,M,300.2,309.5,1639,42.2,45,0,0,0,0,0,0,Cold Rolling Mill-02,1.05
240,L15240,L,300.0,309.6,1539,50.5,42,0,0,0,0,0,0,Cooling Tower Fan-02,0.6
241,H15241,H,303.3,312.1,1277,66.8,125,1,0,1,1,0,0,Coke Oven Battery-01,4.28
242,L15242,L,303.9,312.7,1389,51.7,163,0,0,0,0,0,0,Scrap Shredder-01,2.36
243,M15243,M,298.4,308.7,1679,33.8,23,0,0,0,0,0,0,Cold Rolling Mill-03,1.99
244,L15244,L,302.9,312.6,1420,52.7,163,0,0,0,0,0,0,Scrap Shredder-02,2.12
245,M15245,M,302.9,311.7,1351,60.9,110,1,0,0,1,0,0,Lathe Machine-01,2.57
246,L15246,L,307.3,316.6,1200,82.6,248,1,0,0,0,1,0,Pellet Screening Unit-01,3.75
247,H15247,H,300.9,310.0,1373,44.2,72,0,0,0,0,0,0,Blast Furnace-01,1.96
248,M15248,M,303.5,312.7,1377,52.9,168,0,0,0,0,0,0,Lathe Machine-02,0.3
249,H15249,H,299.6,309.2,1540,39.0,33,0,0,0,0,0,0,Blast Furnace-02,0.33
250,L15250,L,305.0,313.9,1237,65.1,214,0,0,0,0,0,0,Pellet Screening Unit-02,1.15
251,H15251,H,305.2,314.7,1252,63.2,207,0,0,0,0,0,0,Blast Furnace-03,1.62
252,L15252,L,303.7,312.4,1367,52.7,161,0,0,0,0,0,0,Water Pump Station-01,2.21
253,M15253,M,303.1,312.5,1380,58.1,176,0,0,0,0,0,0,Lathe Machine-03,1.47
254,L15254,L,302.4,311.4,1489,47.9,144,0,0,0,0,0,0,Conveyor Belt-01,0.86
255,H15255,H,300.3,309.2,1575,41.4,50,0,0,0,0,0,0,Hot Rolling Mill-01,1.86
256,L15256,L,301.6,310.5,1403,54.8,82,0,0,0,0,0,0,Conveyor Belt-02,0.9
257,M15257,M,306.3,315.4,1200,77.5,221,1,1,0,0,0,0,Hydraulic Press-01,3.74
258,H15258,H,305.1,313.4,1201,63.8,200,0,0,0,0,0,0,Hot Rolling Mill-02,1.04
259,L15259,L,304.3,313.3,1286,59.9,197,0,0,0,0,0,0,Conveyor Belt-03,0.3
260,M15260,M,299.6,309.3,1553,47.0,39,0,0,0,0,0,0,Hydraulic Press-02,1.13
261,L15261,L,299.4,309.6,1428,47.6,41,0,0,0,0,0,0,Conveyor Belt-04,1.51
262,M15262,M,303.3,312.2,1434,49.5,162,0,0,0,0,0,0,Electric Arc Furnace-01,1.6
263,L15263,L,302.6,311.4,1366,55.0,117,0,0,0,0,0,0,Grinding Machine-01,0.58
264,H15264,H,303.8,312.9,1361,57.8,179,0,0,0,0,0,0,Hot Rolling Mill-03,1.47
265,L15265,L,301.6,310.6,1531,42.3,127,0,0,0,0,0,0,Grinding Machine-02,1.09
266,H15266,H,299.5,309.3,1570,45.1,36,0,0,0,0,0,0,Heavy Press-01,0.68
267,H15267,H,302.9,312.4,1431,50.7,155,0,0,0,0,0,0,Heavy Press-02,0.89
