air_temperature,process_temperature,rotational_speed,torque,tool_wear,vibration,Machine failure,Machine Name,Machine ID,Type,TWF,HDF,PWF,OSF
307.51,321.24,1304,72.09,271.37,4.28,1,Blast Furnace-02,BF-02R2,H,0,1,0,0
310.53,322.38,1352,77.85,276.81,7.71,1,Blast Furnace-02,BF-02R3,H,0,1,0,0
299.6,309.2,1540,39.0,33.0,0.33,0,Blast Furnace-02,BF-02R4,H,0,0,0,0
304.2,313.3,1371,57.1,177.0,1.41,0,Blast Furnace-02,BF-02R5,H,0,0,0,0
304.8,313.3,1200,69.3,152.0,2.58,1,Blast Furnace-02,BF-02R6,H,0,0,1,1
299.4,308.7,1583,40.5,33.0,1.12,0,Blast Furnace-02,BF-02R7,H,0,0,0,0
299.6,309.0,1379,43.5,34.0,1.63,0,Blast Furnace-02,BF-02R8,H,0,0,0,0
305.5,314.8,1201,72.2,236.0,1.53,0,Blast Furnace-03,BF-03R1,H,0,0,0,0
305.51,314.9,1627,66.92,111.94,7.83,1,Blast Furnace-03,BF-03R2,H,0,0,1,0
301.4,310.8,1527,43.4,131.0,0.86,0,Blast Furnace-03,BF-03R3,H,0,0,0,0
305.2,314.7,1252,63.2,207.0,1.62,0,Blast Furnace-03,BF-03R4,H,0,0,0,0
299.4,309.0,1585,45.4,34.0,0.79,0,Blast Furnace-03,BF-03R5,H,0,0,0,0
306.0,314.7,1200,66.8,234.0,1.36,0,Blast Furnace-03,BF-03R6,H,0,0,0,0
307.1,315.7,1200,79.1,233.0,3.7,1,Blast Furnace-03,BF-03R7,H,0,1,1,0
300.5,309.8,1659,39.8,50.0,0.62,0,Blast Furnace-03,BF-03R8,H,0,0,0,0
304.6,313.6,1212,61.9,207.0,0.85,0,BOF Converter-01,BC-01R1,H,0,0,0,0
299.4,308.9,1565,45.3,31.0,1.05,0,BOF Converter-01,BC-01R2,H,0,0,0,0
300.1,309.0,1640,40.9,51.0,1.94,0,BOF Converter-01,BC-01R3,H,0,0,0,0
304.6,313.8,1278,63.9,204.0,1.19,0,BOF Converter-01,BC-01R4,H,0,0,0,0
305.0,314.2,1271,63.8,208.0,0.3,0,BOF Converter-01,BC-01R5,H,0,0,0,0
302.4,310.7,1373,50.2,102.0,2.17,1,BOF Converter-01,BC-01R6,H,1,0,0,0
299.2,308.7,1568,43.7,38.0,0.93,0,BOF Converter-01,BC-01R7,H,0,0,0,0
303.1,312.4,1399,50.4,160.0,0.91,0,BOF Converter-02,BC-02R1,H,0,0,0,0
312.29,331.77,1238,74.74,271.54,6.66,1,BOF Converter-02,BC-02R2,H,0,1,0,0
299.7,309.1,1629,41.9,55.0,1.88,0,BOF Converter-02,BC-02R3,H,0,0,0,0
303.1,311.7,1432,50.9,159.0,1.39,0,BOF Converter-02,BC-02R4,H,0,0,0,0
308.98,324.1,1509,57.75,251.25,3.94,1,BOF Converter-02,BC-02R5,H,0,0,0,1
304.7,314.2,1301,62.1,210.0,0.37,0,BOF Converter-02,BC-02R6,H,0,0,0,0
301.0,310.0,1540,41.6,68.0,1.66,0,BOF Converter-02,BC-02R7,H,0,0,0,0
300.5,310.5,1625,45.0,83.0,1.66,0,CNC Machine-01,CM-01R1,M,0,0,0,0
302.2,311.9,1454,50.4,150.0,2.26,0,CNC Machine-01,CM-01R2,M,0,0,0,0
302.2,310.5,1512,46.1,127.0,1.31,0,CNC Machine-01,CM-01R3,M,0,0,0,0
300.0,310.0,1588,40.3,60.0,1.35,0,CNC Machine-01,CM-01R4,M,0,0,0,0
306.3,315.3,1200,79.0,213.0,3.99,1,CNC Machine-01,CM-01R5,M,1,0,0,0
302.9,311.4,1407,49.6,165.0,1.53,0,CNC Machine-01,CM-01R6,M,0,0,0,0
302.6,312.2,1480,48.1,161.0,1.47,0,CNC Machine-01,CM-01R7,M,0,0,0,0
304.94,319.75,1422,61.04,205.97,7.54,1,CNC Machine-01,CM-01R8,M,1,0,0,0
302.9,311.9,1433,51.7,146.0,1.16,0,CNC Machine-01,CM-01R9,M,0,0,0,0
300.9,310.3,1514,46.3,128.0,1.2,0,CNC Machine-02,CM-02R1,M,0,0,0,0
298.8,309.4,1629,38.3,18.0,0.32,0,CNC Machine-02,CM-02R2,M,0,0,0,0
303.55,325.7,1524,54.77,150.3,4.86,1,CNC Machine-02,CM-02R3,M,0,0,0,1
304.0,312.4,1232,69.2,144.0,1.13,1,CNC Machine-02,CM-02R4,M,1,0,0,0
304.8,313.6,1260,65.7,207.0,1.54,0,CNC Machine-02,CM-02R5,M,0,0,0,0
305.1,313.9,1312,61.7,202.0,1.26,0,CNC Machine-02,CM-02R6,M,0,0,0,0
305.3,314.8,1224,69.9,225.0,0.92,0,CNC Machine-02,CM-02R7,M,0,0,0,0
304.6,313.0,1319,58.3,193.0,1.07,0,CNC Machine-02,CM-02R8,M,0,0,0,0
303.1,312.8,1428,49.1,149.0,0.41,0,CNC Machine-02,CM-02R9,M,0,0,0,0
303.0,312.1,1462,50.1,147.0,1.52,0,CNC Machine-03,CM-03R1,M,0,0,0,0
298.1,308.8,1568,41.2,0.0,1.51,0,CNC Machine-03,CM-03R2,M,0,0,0,0
305.6,314.4,1244,68.8,221.0,1.84,0,CNC Machine-03,CM-03R3,M,0,0,0,0
300.7,309.7,1460,45.9,58.0,2.09,0,CNC Machine-03,CM-03R4,M,0,0,0,0
306.0,314.5,1200,72.5,234.0,0.75,0,CNC Machine-03,CM-03R5,M,0,0,0,0
300.8,310.6,1622,36.4,66.0,0.75,0,CNC Machine-03,CM-03R6,M,0,0,0,0
307.43,318.55,1484,64.12,179.74,6.84,1,CNC Machine-03,CM-03R7,M,0,0,0,1
303.1,312.3,1389,50.5,160.0,1.76,0,CNC Machine-03,CM-03R8,M,0,0,0,0
302.9,311.5,1440,48.5,154.0,1.61,0,CNC Machine-03,CM-03R9,M,0,0,0,0
300.4,309.5,1565,40.4,57.0,1.61,0,CNC Machine-04,CM-04R1,M,0,0,0,0
301.2,310.2,1632,46.1,75.0,0.69,0,CNC Machine-04,CM-04R2,M,0,0,0,0
303.7,312.9,1293,59.5,188.0,0.75,0,CNC Machine-04,CM-04R3,M,0,0,0,0
302.2,311.3,1434,50.7,108.0,1.52,0,CNC Machine-04,CM-04R4,M,0,0,0,0
299.2,308.9,1573,40.3,46.0,0.8,0,CNC Machine-04,CM-04R5,M,0,0,0,0
304.2,313.2,1350,54.9,170.0,1.44,0,CNC Machine-04,CM-04R6,M,0,0,0,0
305.0,314.9,1200,69.4,219.0,1.65,0,CNC Machine-04,CM-04R7,M,0,0,0,0
304.9,314.4,1211,62.6,212.0,1.46,0,CNC Machine-04,CM-04R8,M,0,0,0,0
303.2,311.3,1431,51.9,161.0,2.31,0,CNC Machine-04,CM-04R9,M,0,0,0,0
303.6,312.6,1303,65.6,128.0,3.91,1,Coke Oven Battery-01,COB-01R1,H,0,1,1,0
299.4,308.6,1560,44.0,34.0,0.84,0,Coke Oven Battery-01,COB-01R2,H,0,0,0,0
303.3,312.1,1277,66.8,125.0,4.28,1,Coke Oven Battery-01,COB-01R3,H,0,1,1,0
305.0,314.2,1243,64.7,203.0,1.55,0,Coke Oven Battery-01,COB-01R4,H,0,0,0,0
303.6,312.5,1370,52.5,158.0,0.78,0,Coke Oven Battery-01,COB-01R5,H,0,0,0,0
305.4,314.8,1210,68.3,229.0,1.16,0,Coke Oven Battery-01,COB-01R6,H,0,0,0,0
301.3,309.5,1622,44.3,82.0,1.0,0,Coke Oven Battery-01,COB-01R7,H,0,0,0,0
299.6,309.1,1537,41.1,41.0,0.69,0,Cold Rolling Mill-01,CRM-01R1,M,0,0,0,0
306.0,314.2,1200,72.4,238.0,1.26,0,Cold Rolling Mill-01,CRM-01R2,M,0,0,0,0
301.7,311.3,1494,45.1,124.0,1.65,0,Cold Rolling Mill-01,CRM-01R3,M,0,0,0,0
305.4,313.7,1267,62.5,213.0,2.17,0,Cold Rolling Mill-01,CRM-01R4,M,0,0,0,0
305.16,316.02,1610,62.74,105.47,4.56,1,Cold Rolling Mill-01,CRM-01R5,M,0,1,0,0
301.1,310.6,1598,45.9,75.0,0.7,0,Cold Rolling Mill-01,CRM-01R6,M,0,0,0,0
302.9,312.3,1402,51.0,166.0,1.52,0,Cold Rolling Mill-01,CRM-01R7,M,0,0,0,0
297.9,308.9,1373,42.3,15.0,0.53,0,Cold Rolling Mill-01,CRM-01R8,M,0,0,0,0
301.0,310.3,1591,45.9,80.0,0.58,0,Cold Rolling Mill-01,CRM-01R9,M,0,0,0,0
305.2,314.2,1200,66.4,222.0,1.51,0,Cold Rolling Mill-02,CRM-02R1,M,0,0,0,0
308.91,323.69,1472,60.91,138.76,4.5,1,Cold Rolling Mill-02,CRM-02R2,M,1,0,0,0
305.87,324.69,1670,58.21,117.01,4.03,1,Cold Rolling Mill-02,CRM-02R3,M,0,0,0,1
299.2,308.6,1524,45.1,43.0,1.5,0,Cold Rolling Mill-02,CRM-02R4,M,0,0,0,0
300.2,309.5,1639,42.2,45.0,1.05,0,Cold Rolling Mill-02,CRM-02R5,M,0,0,0,0
302.5,311.6,1399,49.9,146.0,1.02,0,Cold Rolling Mill-02,CRM-02R6,M,0,0,0,0
305.2,314.2,1200,67.6,218.0,2.13,0,Cold Rolling Mill-02,CRM-02R7,M,0,0,0,0
304.3,312.9,1305,58.1,184.0,0.3,0,Cold Rolling Mill-02,CRM-02R8,M,0,0,0,0
302.9,312.2,1406,62.5,117.0,2.71,1,Cold Rolling Mill-02,CRM-02R9,M,0,0,1,0
302.5,311.6,1460,52.5,102.0,1.33,0,Cold Rolling Mill-03,CRM-03R1,M,0,0,0,0
308.58,319.5,1378,74.12,224.48,6.16,1,Cold Rolling Mill-03,CRM-03R2,M,0,0,0,1
306.28,320.01,1570,63.05,123.72,4.77,1,Cold Rolling Mill-03,CRM-03R3,M,0,0,0,1
303.8,313.3,1380,55.3,176.0,1.31,0,Cold Rolling Mill-03,CRM-03R4,M,0,0,0,0
298.4,308.7,1679,33.8,23.0,1.99,0,Cold Rolling Mill-03,CRM-03R5,M,0,0,0,0
305.1,314.8,1200,73.2,232.0,1.32,0,Cold Rolling Mill-03,CRM-03R6,M,0,0,0,0
302.2,311.8,1302,57.8,111.0,2.35,1,Cold Rolling Mill-03,CRM-03R7,M,0,0,1,0
301.1,310.0,1587,45.5,80.0,1.68,0,Cold Rolling Mill-03,CRM-03R8,M,0,0,0,0
299.0,308.6,1662,39.0,19.0,0.72,0,Cold Rolling Mill-03,CRM-03R9,M,0,0,0,0
308.92,322.84,1526,57.51,175.68,4.03,1,Conveyor Belt-01,CB-01R1,L,0,0,1,0
308.72,324.85,1445,70.46,202.37,7.38,1,Conveyor Belt-01,CB-01R2,L,0,1,0,0
300.8,310.9,1388,51.2,83.0,1.62,0,Conveyor Belt-01,CB-01R3,L,0,0,0,0
298.6,308.4,1541,50.9,12.0,1.45,0,Conveyor Belt-01,CB-01R4,L,0,0,0,0
299.7,309.4,1448,47.8,43.0,0.73,0,Conveyor Belt-01,CB-01R5,L,0,0,0,0
302.4,311.4,1489,47.9,144.0,0.86,0,Conveyor Belt-01,CB-01R6,L,0,0,0,0
305.4,313.6,1200,72.8,166.0,4.22,1,Conveyor Belt-01,CB-01R7,L,1,1,0,0
301.0,309.9,1419,48.4,76.0,1.61,0,Conveyor Belt-01,CB-01R8,L,0,0,0,0
304.4,313.3,1350,61.1,195.0,1.75,0,Conveyor Belt-01,CB-01R9,L,0,0,0,0
300.1,309.7,1389,47.9,42.0,1.36,0,Conveyor Belt-02,CB-02R1,L,0,0,0,0
313.8,320.76,1226,86.36,284.71,8.27,1,Conveyor Belt-02,CB-02R2,L,0,1,0,0
304.3,313.5,1300,60.2,190.0,1.85,0,Conveyor Belt-02,CB-02R3,L,0,0,0,0
299.9,308.7,1515,48.7,40.0,0.54,0,Conveyor Belt-02,CB-02R4,L,0,0,0,0
304.39,315.9,1562,59.1,62.08,4.59,1,Conveyor Belt-02,CB-02R5,L,0,0,0,0
301.6,310.5,1403,54.8,82.0,0.9,0,Conveyor Belt-02,CB-02R6,L,0,0,0,0
299.5,309.1,1562,40.7,46.0,0.75,0,Conveyor Belt-02,CB-02R7,L,0,0,0,0
302.6,311.3,1517,46.8,148.0,0.73,0,Conveyor Belt-02,CB-02R8,L,0,0,0,0
304.2,313.5,1272,60.4,189.0,0.3,0,Conveyor Belt-02,CB-02R9,L,0,0,0,0
302.5,311.1,1466,47.0,142.0,1.04,0,Conveyor Belt-03,CB-03R1,L,0,0,0,0
305.4,314.5,1227,66.2,221.0,1.57,0,Conveyor Belt-03,CB-03R2,L,0,0,0,0
303.6,312.6,1400,52.3,170.0,0.72,0,Conveyor Belt-03,CB-03R3,L,0,0,0,0
307.0,316.3,1200,82.4,247.0,2.88,1,Conveyor Belt-03,CB-03R4,L,0,0,0,1
301.6,310.2,1531,45.0,120.0,2.13,0,Conveyor Belt-03,CB-03R5,L,0,0,0,0
304.3,313.3,1286,59.9,197.0,0.3,0,Conveyor Belt-03,CB-03R6,L,0,0,0,0
298.4,309.1,1480,49.9,3.0,1.82,0,Conveyor Belt-03,CB-03R7,L,0,0,0,0
302.4,311.8,1461,46.1,140.0,1.48,0,Conveyor Belt-03,CB-03R8,L,0,0,0,0
301.9,310.3,1604,44.9,87.0,0.85,0,Conveyor Belt-03,CB-03R9,L,0,0,0,0
302.2,311.0,1499,46.0,141.0,0.6,0,Conveyor Belt-04,CB-04R1,L,0,0,0,0
304.8,314.0,1210,63.4,216.0,0.63,0,Conveyor Belt-04,CB-04R2,L,0,0,0,0
298.1,308.7,1396,47.7,1.0,2.36,0,Conveyor Belt-04,CB-04R3,L,0,0,0,0
307.45,325.09,1396,70.25,133.81,6.15,1,Conveyor Belt-04,CB-04R4,L,0,0,1,0
301.3,310.8,1580,48.1,87.0,1.07,0,Conveyor Belt-04,CB-04R5,L,0,0,0,0
299.4,309.6,1428,47.6,41.0,1.51,0,Conveyor Belt-04,CB-04R6,L,0,0,0,0
302.5,311.2,1462,46.8,141.0,1.35,0,Conveyor Belt-04,CB-04R7,L,0,0,0,0
305.6,314.5,1224,68.2,220.0,1.36,0,Conveyor Belt-04,CB-04R8,L,0,0,0,0
306.78,328.7,1449,56.36,256.75,3.2,1,Conveyor Belt-04,CB-04R9,L,0,0,1,0
302.49,314.82,1429,59.93,81.49,4.27,1,Cooling Tower Fan-01,CTF-01R1,L,0,0,1,0
300.3,309.7,1579,42.5,60.0,0.78,0,Cooling Tower Fan-01,CTF-01R2,L,0,0,0,0
302.6,311.1,1469,47.3,143.0,1.41,0,Cooling Tower Fan-01,CTF-01R3,L,0,0,0,0
298.0,308.9,1532,42.2,21.0,0.73,0,Cooling Tower Fan-01,CTF-01R4,L,0,0,0,0
305.7,313.9,1200,71.1,179.0,4.77,1,Cooling Tower Fan-01,CTF-01R5,L,1,1,0,0
303.0,312.0,1304,62.5,124.0,4.97,1,Cooling Tower Fan-01,CTF-01R6,L,0,0,0,1
299.4,309.1,1540,43.2,24.0,1.83,0,Cooling Tower Fan-01,CTF-01R7,L,0,0,0,0
305.0,314.2,1219,65.8,220.0,1.18,0,Cooling Tower Fan-01,CTF-01R8,L,0,0,0,0
299.9,309.4,1445,46.9,40.0,0.95,0,Cooling Tower Fan-01,CTF-01R9,L,0,0,0,0
302.7,311.0,1468,48.3,146.0,0.53,0,Cooling Tower Fan-02,CTF-02R1,L,0,0,0,0
301.9,310.4,1545,44.1,79.0,1.12,0,Cooling Tower Fan-02,CTF-02R2,L,0,0,0,0
299.5,308.4,1651,42.9,25.0,1.61,0,Cooling Tower Fan-02,CTF-02R3,L,0,0,0,0
302.39,325.74,1411,63.82,98.16,6.02,1,Cooling Tower Fan-02,CTF-02R4,L,0,0,0,1
300.0,309.6,1539,50.5,42.0,0.6,0,Cooling Tower Fan-02,CTF-02R5,L,0,0,0,0
302.4,311.5,1413,53.5,113.0,0.74,0,Cooling Tower Fan-02,CTF-02R6,L,0,0,0,0
304.9,314.3,1200,73.6,170.0,4.46,1,Cooling Tower Fan-02,CTF-02R7,L,1,1,0,0
298.5,308.9,1425,42.2,8.0,0.51,0,Cooling Tower Fan-02,CTF-02R8,L,0,0,0,0
299.7,309.3,1544,50.4,48.0,0.51,0,Cooling Tower Fan-02,CTF-02R9,L,0,0,0,0
304.7,313.9,1269,61.7,200.0,1.57,0,Drill Press-01,DP-01R1,L,0,0,0,0
298.4,308.6,1477,39.4,8.0,1.69,0,Drill Press-01,DP-01R2,L,0,0,0,0
298.0,308.9,1454,39.9,2.0,1.6,0,Drill Press-01,DP-01R3,L,0,0,0,0
301.7,310.6,1581,45.4,122.0,1.49,0,Drill Press-01,DP-01R4,L,0,0,0,0
307.33,324.04,1633,54.94,143.06,7.24,1,Drill Press-01,DP-01R5,L,0,0,0,0
303.0,311.5,1271,60.3,130.0,4.81,1,Drill Press-01,DP-01R6,L,0,0,0,1
299.4,308.9,1623,36.3,24.0,2.48,0,Drill Press-01,DP-01R7,L,0,0,0,0
302.2,311.8,1484,47.6,142.0,0.59,0,Drill Press-01,DP-01R8,L,0,0,0,0
297.4,308.1,1473,48.5,4.0,0.65,0,Drill Press-01,DP-01R9,L,0,0,0,0
298.4,308.8,1592,45.7,13.0,0.52,0,Drill Press-02,DP-02R1,L,0,0,0,0
307.8,316.0,1200,77.7,254.0,4.02,1,Drill Press-02,DP-02R2,L,0,0,0,1
299.7,308.9,1656,41.0,30.0,0.73,0,Drill Press-02,DP-02R3,L,0,0,0,0
298.0,308.2,1404,46.1,0.0,2.12,0,Drill Press-02,DP-02R4,L,0,0,0,0
299.9,309.2,1636,43.9,46.0,0.51,0,Drill Press-02,DP-02R5,L,0,0,0,0
299.7,308.9,1600,41.5,19.0,1.24,0,Drill Press-02,DP-02R6,L,0,0,0,0
298.4,308.6,1427,38.6,5.0,1.19,0,Drill Press-02,DP-02R7,L,0,0,0,0
303.7,312.7,1378,53.6,164.0,1.46,0,Drill Press-02,DP-02R8,L,0,0,0,0
304.7,313.3,1250,59.1,195.0,1.52,0,Drill Press-02,DP-02R9,L,0,0,0,0
299.7,308.9,1603,34.8,27.0,2.12,0,Drill Press-03,DP-03R1,L,0,0,0,0
298.5,308.5,1428,44.7,4.0,2.43,0,Drill Press-03,DP-03R2,L,0,0,0,0
298.2,308.7,1466,50.2,12.0,1.76,0,Drill Press-03,DP-03R3,L,0,0,0,0
299.2,308.6,1598,41.1,26.0,2.03,0,Drill Press-03,DP-03R4,L,0,0,0,0
299.9,309.7,1618,40.7,29.0,2.03,0,Drill Press-03,DP-03R5,L,0,0,0,0
299.0,309.2,1636,36.6,23.0,2.16,0,Drill Press-03,DP-03R6,L,0,0,0,0
303.2,310.9,1465,46.7,145.0,0.48,0,Drill Press-03,DP-03R7,L,0,0,0,0
308.27,321.68,1539,62.48,91.65,2.63,1,Drill Press-03,DP-03R8,L,1,0,0,0
300.6,310.4,1494,41.7,118.0,1.7,0,Drill Press-03,DP-03R9,L,0,0,0,0
302.9,312.9,1396,49.7,162.0,1.27,0,Electric Arc Furnace-01,EAF-01R1,M,0,0,0,0
299.0,309.4,1571,40.7,41.0,0.54,0,Electric Arc Furnace-01,EAF-01R2,M,0,0,0,0
301.3,309.9,1507,43.3,119.0,2.02,0,Electric Arc Furnace-01,EAF-01R3,M,0,0,0,0
303.6,312.5,1377,55.3,174.0,0.76,0,Electric Arc Furnace-01,EAF-01R4,M,0,0,0,0
303.3,312.2,1434,49.5,162.0,1.6,0,Electric Arc Furnace-01,EAF-01R5,M,0,0,0,0
307.42,325.33,1599,47.04,88.96,4.12,1,Electric Arc Furnace-01,EAF-01R6,M,0,0,1,0
305.0,314.1,1271,59.6,200.0,0.69,0,Electric Arc Furnace-01,EAF-01R7,M,0,0,0,0
309.1,316.82,1450,57.88,174.21,4.0,1,Electric Arc Furnace-01,EAF-01R8,M,1,0,0,0
304.0,313.0,1260,69.5,139.0,1.9,1,Electric Arc Furnace-01,EAF-01R9,M,1,0,0,0
303.2,312.5,1494,51.6,165.0,1.15,0,Electric Arc Furnace-02,EAF-02R1,M,0,0,0,0
305.4,313.9,1217,63.5,210.0,0.94,0,Electric Arc Furnace-02,EAF-02R2,M,0,0,0,0
306.6,315.6,1200,76.9,213.0,3.85,1,Electric Arc Furnace-02,EAF-02R3,M,1,0,0,0
301.9,310.1,1497,47.1,123.0,1.97,0,Electric Arc Furnace-02,EAF-02R4,M,0,0,0,0
302.5,311.5,1475,54.1,106.0,2.06,0,Electric Arc Furnace-02,EAF-02R5,M,0,0,0,0
302.8,312.4,1435,49.6,159.0,1.75,0,Electric Arc Furnace-02,EAF-02R6,M,0,0,0,0
300.5,309.6,1457,47.1,59.0,1.06,0,Electric Arc Furnace-02,EAF-02R7,M,0,0,0,0
306.0,315.0,1200,79.1,195.0,4.48,1,Electric Arc Furnace-02,EAF-02R8,M,0,0,1,1
308.48,326.4,1200,83.47,339.67,6.73,1,Electric Arc Furnace-02,EAF-02R9,M,0,0,0,1
299.0,308.4,1644,37.4,19.0,1.37,0,Galvanizing Line-01,GL-01R1,M,0,0,0,0
300.5,309.3,1634,37.5,65.0,0.96,0,Galvanizing Line-01,GL-01R2,M,0,0,0,0
301.9,310.6,1533,47.0,120.0,1.53,0,Galvanizing Line-01,GL-01R3,M,0,0,0,0
313.16,330.39,1331,76.55,251.7,4.31,1,Galvanizing Line-01,GL-01R4,M,0,0,0,0
305.9,314.4,1200,73.5,195.0,3.71,1,Galvanizing Line-01,GL-01R5,M,0,0,1,1
301.5,310.1,1537,41.1,116.0,1.84,0,Galvanizing Line-01,GL-01R6,M,0,0,0,0
304.73,320.93,1410,71.4,174.91,3.75,1,Galvanizing Line-01,GL-01R7,M,0,0,1,0
300.8,311.1,1564,43.9,73.0,0.84,0,Galvanizing Line-01,GL-01R8,M,0,0,0,0
303.9,313.0,1200,70.5,140.0,1.97,1,Galvanizing Line-01,GL-01R9,M,1,0,0,0
303.0,311.9,1443,52.6,164.0,0.83,0,Galvanizing Line-02,GL-02R1,M,0,0,0,0
301.4,310.3,1529,43.1,123.0,2.3,0,Galvanizing Line-02,GL-02R2,M,0,0,0,0
300.4,309.1,1619,41.4,40.0,0.81,0,Galvanizing Line-02,GL-02R3,M,0,0,0,0
302.4,311.0,1474,48.0,133.0,0.3,0,Galvanizing Line-02,GL-02R4,M,0,0,0,0
302.4,312.0,1415,51.4,150.0,0.77,0,Galvanizing Line-02,GL-02R5,M,0,0,0,0
297.5,308.4,1456,40.3,12.0,0.3,0,Galvanizing Line-02,GL-02R6,M,0,0,0,0
304.7,314.7,1249,68.3,220.0,1.87,0,Galvanizing Line-02,GL-02R7,M,0,0,0,0
304.9,313.9,1261,66.8,211.0,1.51,0,Galvanizing Line-02,GL-02R8,M,0,0,0,0
303.1,311.2,1437,48.2,149.0,1.91,0,Galvanizing Line-02,GL-02R9,M,0,0,0,0
300.7,310.0,1566,48.3,78.0,0.4,0,Grinding Machine-01,GM-01R1,L,0,0,0,0
