UDI,Machine ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Machine Name,Vibration [mm/s]
410,BC-02R6,H,304.7,314.2,1301,62.1,210.0,0,0,0,0,0,0,BOF Converter-02,0.37
471,BC-02R7,H,301.0,310.0,1540,41.6,68.0,0,0,0,0,0,0,BOF Converter-02,1.66
4,CM-01R1,M,300.5,310.5,1625,45.0,83.0,0,0,0,0,0,0,CNC Machine-01,1.66
63,CM-01R2,M,302.2,311.9,1454,50.4,150.0,0,0,0,0,0,0,CNC Machine-01,2.26
121,CM-01R3,M,302.2,310.5,1512,46.1,127.0,0,0,0,0,0,0,CNC Machine-01,1.31
174,CM-01R4,M,300.0,310.0,1588,40.3,60.0,0,0,0,0,0,0,CNC Machine-01,1.35
227,CM-01R5,M,306.3,315.3,1200,79.0,213.0,1,1,0,0,0,0,CNC Machine-01,3.99
285,CM-01R6,M,302.9,311.4,1407,49.6,165.0,0,0,0,0,0,0,CNC Machine-01,1.53
342,CM-01R7,M,302.6,312.2,1480,48.1,161.0,0,0,0,0,0,0,CNC Machine-01,1.47
386,CM-01R8,M,304.94,319.75,1422,61.04,205.97,1,1,0,0,0,0,CNC Machine-01,7.54
435,CM-01R9,M,302.9,311.9,1433,51.7,146.0,0,0,0,0,0,0,CNC Machine-01,1.16
6,CM-02R1,M,300.9,310.3,1514,46.3,128.0,0,0,0,0,0,0,CNC Machine-02,1.2
65,CM-02R2,M,298.8,309.4,1629,38.3,18.0,0,0,0,0,0,0,CNC Machine-02,0.32
123,CM-02R3,M,303.55,325.7,1524,54.77,150.3,1,0,0,0,1,0,CNC Machine-02,4.86
176,CM-02R4,M,304.0,312.4,1232,69.2,144.0,1,1,0,0,0,0,CNC Machine-02,1.13
231,CM-02R5,M,304.8,313.6,1260,65.7,207.0,0,0,0,0,0,0,CNC Machine-02,1.54
288,CM-02R6,M,305.1,313.9,1312,61.7,202.0,0,0,0,0,0,0,CNC Machine-02,1.26
344,CM-02R7,M,305.3,314.8,1224,69.9,225.0,0,0,0,0,0,0,CNC Machine-02,0.92
387,CM-02R8,M,304.6,313.0,1319,58.3,193.0,0,0,0,0,0,0,CNC Machine-02,1.07
436,CM-02R9,M,303.1,312.8,1428,49.1,149.0,0,0,0,0,0,0,CNC Machine-02,0.41
9,CM-03R1,M,303.0,312.1,1462,50.1,147.0,0,0,0,0,0,0,CNC Machine-03,1.52
67,CM-03R2,M,298.1,308.8,1568,41.2,0.0,0,0,0,0,0,0,CNC Machine-03,1.51
127,CM-03R3,M,305.6,314.4,1244,68.8,221.0,0,0,0,0,0,0,CNC Machine-03,1.84
178,CM-03R4,M,300.7,309.7,1460,45.9,58.0,0,0,0,0,0,0,CNC Machine-03,2.09
234,CM-03R5,M,306.0,314.5,1200,72.5,234.0,0,0,0,0,0,0,CNC Machine-03,0.75
292,CM-03R6,M,300.8,310.6,1622,36.4,66.0,0,0,0,0,0,0,CNC Machine-03,0.75
346,CM-03R7,M,307.43,318.55,1484,64.12,179.74,1,0,0,0,1,0,CNC Machine-03,6.84
389,CM-03R8,M,303.1,312.3,1389,50.5,160.0,0,0,0,0,0,0,CNC Machine-03,1.76
439,CM-03R9,M,302.9,311.5,1440,48.5,154.0,0,0,0,0,0,0,CNC Machine-03,1.61
14,CM-04R1,M,300.4,309.5,1565,40.4,57.0,0,0,0,0,0,0,CNC Machine-04,1.61
70,CM-04R2,M,301.2,310.2,1632,46.1,75.0,0,0,0,0,0,0,CNC Machine-04,0.69
133,CM-04R3,M,303.7,312.9,1293,59.5,188.0,0,0,0,0,0,0,CNC Machine-04,0.75
181,CM-04R4,M,302.2,311.3,1434,50.7,108.0,0,0,0,0,0,0,CNC Machine-04,1.52
236,CM-04R5,M,299.2,308.9,1573,40.3,46.0,0,0,0,0,0,0,CNC Machine-04,0.8
293,CM-04R6,M,304.2,313.2,1350,54.9,170.0,0,0,0,0,0,0,CNC Machine-04,1.44
348,CM-04R7,M,305.0,314.9,1200,69.4,219.0,0,0,0,0,0,0,CNC Machine-04,1.65
390,CM-04R8,M,304.9,314.4,1211,62.6,212.0,0,0,0,0,0,0,CNC Machine-04,1.46
441,CM-04R9,M,303.2,311.3,1431,51.9,161.0,0,0,0,0,0,0,CNC Machine-04,2.31
66,COB-01R1,H,303.6,312.6,1303,65.6,128.0,1,0,1,1,0,0,Coke Oven Battery-01,3.91
145,COB-01R2,H,299.4,308.6,1560,44.0,34.0,0,0,0,0,0,0,Coke Oven Battery-01,0.84
241,COB-01R3,H,303.3,312.1,1277,66.8,125.0,1,0,1,1,0,0,Coke Oven Battery-01,4.28
313,COB-01R4,H,305.0,314.2,1243,64.7,203.0,0,0,0,0,0,0,Coke Oven Battery-01,1.55
375,COB-01R5,H,303.6,312.5,1370,52.5,158.0,0,0,0,0,0,0,Coke Oven Battery-01,0.78
444,COB-01R6,H,305.4,314.8,1210,68.3,229.0,0,0,0,0,0,0,Coke Oven Battery-01,1.16
495,COB-01R7,H,301.3,309.5,1622,44.3,82.0,0,0,0,0,0,0,Coke Oven Battery-01,1.0
26,CRM-01R1,M,299.6,309.1,1537,41.1,41.0,0,0,0,0,0,0,Cold Rolling Mill-01,0.69
71,CRM-01R2,M,306.0,314.2,1200,72.4,238.0,0,0,0,0,0,0,Cold Rolling Mill-01,1.26
135,CRM-01R3,M,301.7,311.3,1494,45.1,124.0,0,0,0,0,0,0,Cold Rolling Mill-01,1.65
183,CRM-01R4,M,305.4,313.7,1267,62.5,213.0,0,0,0,0,0,0,Cold Rolling Mill-01,2.17
237,CRM-01R5,M,305.16,316.02,1610,62.74,105.47,1,0,1,0,0,0,Cold Rolling Mill-01,4.56
294,CRM-01R6,M,301.1,310.6,1598,45.9,75.0,0,0,0,0,0,0,Cold Rolling Mill-01,0.7
349,CRM-01R7,M,302.9,312.3,1402,51.0,166.0,0,0,0,0,0,0,Cold Rolling Mill-01,1.52
394,CRM-01R8,M,297.9,308.9,1373,42.3,15.0,0,0,0,0,0,0,Cold Rolling Mill-01,0.53
443,CRM-01R9,M,301.0,310.3,1591,45.9,80.0,0,0,0,0,0,0,Cold Rolling Mill-01,0.58
27,CRM-02R1,M,305.2,314.2,1200,66.4,222.0,0,0,0,0,0,0,Cold Rolling Mill-02,1.51
73,CRM-02R2,M,308.91,323.69,1472,60.91,138.76,1,1,0,0,0,0,Cold Rolling Mill-02,4.5
139,CRM-02R3,M,305.87,324.69,1670,58.21,117.01,1,0,0,0,1,0,Cold Rolling Mill-02,4.03
184,CRM-02R4,M,299.2,308.6,1524,45.1,43.0,0,0,0,0,0,0,Cold Rolling Mill-02,1.5
239,CRM-02R5,M,300.2,309.5,1639,42.2,45.0,0,0,0,0,0,0,Cold Rolling Mill-02,1.05
296,CRM-02R6,M,302.5,311.6,1399,49.9,146.0,0,0,0,0,0,0,Cold Rolling Mill-02,1.02
352,CRM-02R7,M,305.2,314.2,1200,67.6,218.0,0,0,0,0,0,0,Cold Rolling Mill-02,2.13
395,CRM-02R8,M,304.3,312.9,1305,58.1,184.0,0,0,0,0,0,0,Cold Rolling Mill-02,0.3
445,CRM-02R9,M,302.9,312.2,1406,62.5,117.0,1,0,0,1,0,0,Cold Rolling Mill-02,2.71
28,CRM-03R1,M,302.5,311.6,1460,52.5,102.0,0,0,0,0,0,0,Cold Rolling Mill-03,1.33
76,CRM-03R2,M,308.58,319.5,1378,74.12,224.48,1,0,0,0,1,0,Cold Rolling Mill-03,6.16
140,CRM-03R3,M,306.28,320.01,1570,63.05,123.72,1,0,0,0,1,0,Cold Rolling Mill-03,4.77
185,CRM-03R4,M,303.8,313.3,1380,55.3,176.0,0,0,0,0,0,0,Cold Rolling Mill-03,1.31
243,CRM-03R5,M,298.4,308.7,1679,33.8,23.0,0,0,0,0,0,0,Cold Rolling Mill-03,1.99
301,CRM-03R6,M,305.1,314.8,1200,73.2,232.0,0,0,0,0,0,0,Cold Rolling Mill-03,1.32
354,CRM-03R7,M,302.2,311.8,1302,57.8,111.0,1,0,0,1,0,0,Cold Rolling Mill-03,2.35
396,CRM-03R8,M,301.1,310.0,1587,45.5,80.0,0,0,0,0,0,0,Cold Rolling Mill-03,1.68
454,CRM-03R9,M,299.0,308.6,1662,39.0,19.0,0,0,0,0,0,0,Cold Rolling Mill-03,0.72
1,CB-01R1,L,308.92,322.84,1526,57.51,175.68,1,0,0,1,0,0,Conveyor Belt-01,4.03
57,CB-01R2,L,308.72,324.85,1445,70.46,202.37,1,0,1,0,0,0,Conveyor Belt-01,7.38
102,CB-01R3,L,300.8,310.9,1388,51.2,83.0,0,0,0,0,0,0,Conveyor Belt-01,1.62
163,CB-01R4,L,298.6,308.4,1541,50.9,12.0,0,0,0,0,0,0,Conveyor Belt-01,1.45
210,CB-01R5,L,299.7,309.4,1448,47.8,43.0,0,0,0,0,0,0,Conveyor Belt-01,0.73
254,CB-01R6,L,302.4,311.4,1489,47.9,144.0,0,0,0,0,0,0,Conveyor Belt-01,0.86
309,CB-01R7,L,305.4,313.6,1200,72.8,166.0,1,1,1,0,0,0,Conveyor Belt-01,4.22
381,CB-01R8,L,301.0,309.9,1419,48.4,76.0,0,0,0,0,0,0,Conveyor Belt-01,1.61
449,CB-01R9,L,304.4,313.3,1350,61.1,195.0,0,0,0,0,0,0,Conveyor Belt-01,1.75
2,CB-02R1,L,300.1,309.7,1389,47.9,42.0,0,0,0,0,0,0,Conveyor Belt-02,1.36
58,CB-02R2,L,313.8,320.76,1226,86.36,284.71,1,0,1,0,0,0,Conveyor Belt-02,8.27
106,CB-02R3,L,304.3,313.5,1300,60.2,190.0,0,0,0,0,0,0,Conveyor Belt-02,1.85
165,CB-02R4,L,299.9,308.7,1515,48.7,40.0,0,0,0,0,0,0,Conveyor Belt-02,0.54
213,CB-02R5,L,304.39,315.9,1562,59.1,62.08,1,0,0,0,0,1,Conveyor Belt-02,4.59
256,CB-02R6,L,301.6,310.5,1403,54.8,82.0,0,0,0,0,0,0,Conveyor Belt-02,0.9
310,CB-02R7,L,299.5,309.1,1562,40.7,46.0,0,0,0,0,0,0,Conveyor Belt-02,0.75
384,CB-02R8,L,302.6,311.3,1517,46.8,148.0,0,0,0,0,0,0,Conveyor Belt-02,0.73
451,CB-02R9,L,304.2,313.5,1272,60.4,189.0,0,0,0,0,0,0,Conveyor Belt-02,0.3
3,CB-03R1,L,302.5,311.1,1466,47.0,142.0,0,0,0,0,0,0,Conveyor Belt-03,1.04
59,CB-03R2,L,305.4,314.5,1227,66.2,221.0,0,0,0,0,0,0,Conveyor Belt-03,1.57
111,CB-03R3,L,303.6,312.6,1400,52.3,170.0,0,0,0,0,0,0,Conveyor Belt-03,0.72
168,CB-03R4,L,307.0,316.3,1200,82.4,247.0,1,0,0,0,1,0,Conveyor Belt-03,2.88
214,CB-03R5,L,301.6,310.2,1531,45.0,120.0,0,0,0,0,0,0,Conveyor Belt-03,2.13
259,CB-03R6,L,304.3,313.3,1286,59.9,197.0,0,0,0,0,0,0,Conveyor Belt-03,0.3
311,CB-03R7,L,298.4,309.1,1480,49.9,3.0,0,0,0,0,0,0,Conveyor Belt-03,1.82
385,CB-03R8,L,302.4,311.8,1461,46.1,140.0,0,0,0,0,0,0,Conveyor Belt-03,1.48
452,CB-03R9,L,301.9,310.3,1604,44.9,87.0,0,0,0,0,0,0,Conveyor Belt-03,0.85
7,CB-04R1,L,302.2,311.0,1499,46.0,141.0,0,0,0,0,0,0,Conveyor Belt-04,0.6
62,CB-04R2,L,304.8,314.0,1210,63.4,216.0,0,0,0,0,0,0,Conveyor Belt-04,0.63
114,CB-04R3,L,298.1,308.7,1396,47.7,1.0,0,0,0,0,0,0,Conveyor Belt-04,2.36
169,CB-04R4,L,307.45,325.09,1396,70.25,133.81,1,0,0,1,0,0,Conveyor Belt-04,6.15
219,CB-04R5,L,301.3,310.8,1580,48.1,87.0,0,0,0,0,0,0,Conveyor Belt-04,1.07
261,CB-04R6,L,299.4,309.6,1428,47.6,41.0,0,0,0,0,0,0,Conveyor Belt-04,1.51
312,CB-04R7,L,302.5,311.2,1462,46.8,141.0,0,0,0,0,0,0,Conveyor Belt-04,1.35
388,CB-04R8,L,305.6,314.5,1224,68.2,220.0,0,0,0,0,0,0,Conveyor Belt-04,1.36
456,CB-04R9,L,306.78,328.7,1449,56.36,256.75,1,0,0,1,0,0,Conveyor Belt-04,3.2
31,CTF-01R1,L,302.49,314.82,1429,59.93,81.49,1,0,0,1,0,0,Cooling Tower Fan-01,4.27
91,CTF-01R2,L,300.3,309.7,1579,42.5,60.0,0,0,0,0,0,0,Cooling Tower Fan-01,0.78
137,CTF-01R3,L,302.6,311.1,1469,47.3,143.0,0,0,0,0,0,0,Cooling Tower Fan-01,1.41
191,CTF-01R4,L,298.0,308.9,1532,42.2,21.0,0,0,0,0,0,0,Cooling Tower Fan-01,0.73
238,CTF-01R5,L,305.7,313.9,1200,71.1,179.0,1,1,1,0,0,0,Cooling Tower Fan-01,4.77
287,CTF-01R6,L,303.0,312.0,1304,62.5,124.0,1,0,0,0,1,0,Cooling Tower Fan-01,4.97
347,CTF-01R7,L,299.4,309.1,1540,43.2,24.0,0,0,0,0,0,0,Cooling Tower Fan-01,1.83
419,CTF-01R8,L,305.0,314.2,1219,65.8,220.0,0,0,0,0,0,0,Cooling Tower Fan-01,1.18
491,CTF-01R9,L,299.9,309.4,1445,46.9,40.0,0,0,0,0,0,0,Cooling Tower Fan-01,0.95
37,CTF-02R1,L,302.7,311.0,1468,48.3,146.0,0,0,0,0,0,0,Cooling Tower Fan-02,0.53
92,CTF-02R2,L,301.9,310.4,1545,44.1,79.0,0,0,0,0,0,0,Cooling Tower Fan-02,1.12
138,CTF-02R3,L,299.5,308.4,1651,42.9,25.0,0,0,0,0,0,0,Cooling Tower Fan-02,1.61
195,CTF-02R4,L,302.39,325.74,1411,63.82,98.16,1,0,0,0,1,0,Cooling Tower Fan-02,6.02
240,CTF-02R5,L,300.0,309.6,1539,50.5,42.0,0,0,0,0,0,0,Cooling Tower Fan-02,0.6
295,CTF-02R6,L,302.4,311.5,1413,53.5,113.0,0,0,0,0,0,0,Cooling Tower Fan-02,0.74
351,CTF-02R7,L,304.9,314.3,1200,73.6,170.0,1,1,1,0,0,0,Cooling Tower Fan-02,4.46
423,CTF-02R8,L,298.5,308.9,1425,42.2,8.0,0,0,0,0,0,0,Cooling Tower Fan-02,0.51
492,CTF-02R9,L,299.7,309.3,1544,50.4,48.0,0,0,0,0,0,0,Cooling Tower Fan-02,0.51
23,DP-01R1,L,304.7,313.9,1269,61.7,200.0,0,0,0,0,0,0,Drill Press-01,1.57
84,DP-01R2,L,298.4,308.6,1477,39.4,8.0,0,0,0,0,0,0,Drill Press-01,1.69
129,DP-01R3,L,298.0,308.9,1454,39.9,2.0,0,0,0,0,0,0,Drill Press-01,1.6
188,DP-01R4,L,301.7,310.6,1581,45.4,122.0,0,0,0,0,0,0,Drill Press-01,1.49
230,DP-01R5,L,307.33,324.04,1633,54.94,143.06,1,0,0,0,0,1,Drill Press-01,7.24
277,DP-01R6,L,303.0,311.5,1271,60.3,130.0,1,0,0,0,1,0,Drill Press-01,4.81
333,DP-01R7,L,299.4,308.9,1623,36.3,24.0,0,0,0,0,0,0,Drill Press-01,2.48
413,DP-01R8,L,302.2,311.8,1484,47.6,142.0,0,0,0,0,0,0,Drill Press-01,0.59
482,DP-01R9,L,297.4,308.1,1473,48.5,4.0,0,0,0,0,0,0,Drill Press-01,0.65
24,DP-02R1,L,298.4,308.8,1592,45.7,13.0,0,0,0,0,0,0,Drill Press-02,0.52
87,DP-02R2,L,307.8,316.0,1200,77.7,254.0,1,0,0,0,1,0,Drill Press-02,4.02
132,DP-02R3,L,299.7,308.9,1656,41.0,30.0,0,0,0,0,0,0,Drill Press-02,0.73
189,DP-02R4,L,298.0,308.2,1404,46.1,0.0,0,0,0,0,0,0,Drill Press-02,2.12
232,DP-02R5,L,299.9,309.2,1636,43.9,46.0,0,0,0,0,0,0,Drill Press-02,0.51
280,DP-02R6,L,299.7,308.9,1600,41.5,19.0,0,0,0,0,0,0,Drill Press-02,1.24
335,DP-02R7,L,298.4,308.6,1427,38.6,5.0,0,0,0,0,0,0,Drill Press-02,1.19
415,DP-02R8,L,303.7,312.7,1378,53.6,164.0,0,0,0,0,0,0,Drill Press-02,1.46
489,DP-02R9,L,304.7,313.3,1250,59.1,195.0,0,0,0,0,0,0,Drill Press-02,1.52
25,DP-03R1,L,299.7,308.9,1603,34.8,27.0,0,0,0,0,0,0,Drill Press-03,2.12
88,DP-03R2,L,298.5,308.5,1428,44.7,4.0,0,0,0,0,0,0,Drill Press-03,2.43
136,DP-03R3,L,298.2,308.7,1466,50.2,12.0,0,0,0,0,0,0,Drill Press-03,1.76
190,DP-03R4,L,299.2,308.6,1598,41.1,26.0,0,0,0,0,0,0,Drill Press-03,2.03
235,DP-03R5,L,299.9,309.7,1618,40.7,29.0,0,0,0,0,0,0,Drill Press-03,2.03
284,DP-03R6,L,299.0,309.2,1636,36.6,23.0,0,0,0,0,0,0,Drill Press-03,2.16
340,DP-03R7,L,303.2,310.9,1465,46.7,145.0,0,0,0,0,0,0,Drill Press-03,0.48
416,DP-03R8,L,308.27,321.68,1539,62.48,91.65,1,1,0,0,0,0,Drill Press-03,2.63
490,DP-03R9,L,300.6,310.4,1494,41.7,118.0,0,0,0,0,0,0,Drill Press-03,1.7
42,EAF-01R1,M,302.9,312.9,1396,49.7,162.0,0,0,0,0,0,0,Electric Arc Furnace-01,1.27
98,EAF-01R2,M,299.0,309.4,1571,40.7,41.0,0,0,0,0,0,0,Electric Arc Furnace-01,0.54
154,EAF-01R3,M,301.3,309.9,1507,43.3,119.0,0,0,0,0,0,0,Electric Arc Furnace-01,2.02
208,EAF-01R4,M,303.6,312.5,1377,55.3,174.0,0,0,0,0,0,0,Electric Arc Furnace-01,0.76
262,EAF-01R5,M,303.3,312.2,1434,49.5,162.0,0,0,0,0,0,0,Electric Arc Furnace-01,1.6
322,EAF-01R6,M,307.42,325.33,1599,47.04,88.96,1,0,0,1,0,0,Electric Arc Furnace-01,4.12
370,EAF-01R7,M,305.0,314.1,1271,59.6,200.0,0,0,0,0,0,0,Electric Arc Furnace-01,0.69
420,EAF-01R8,M,309.1,316.82,1450,57.88,174.21,1,1,0,0,0,0,Electric Arc Furnace-01,4.0
472,EAF-01R9,M,304.0,313.0,1260,69.5,139.0,1,1,0,0,0,0,Electric Arc Furnace-01,1.9
44,EAF-02R1,M,303.2,312.5,1494,51.6,165.0,0,0,0,0,0,0,Electric Arc Furnace-02,1.15
105,EAF-02R2,M,305.4,313.9,1217,63.5,210.0,0,0,0,0,0,0,Electric Arc Furnace-02,0.94
157,EAF-02R3,M,306.6,315.6,1200,76.9,213.0,1,1,0,0,0,0,Electric Arc Furnace-02,3.85
209,EAF-02R4,M,301.9,310.1,1497,47.1,123.0,0,0,0,0,0,0,Electric Arc Furnace-02,1.97
271,EAF-02R5,M,302.5,311.5,1475,54.1,106.0,0,0,0,0,0,0,Electric Arc Furnace-02,2.06
323,EAF-02R6,M,302.8,312.4,1435,49.6,159.0,0,0,0,0,0,0,Electric Arc Furnace-02,1.75
371,EAF-02R7,M,300.5,309.6,1457,47.1,59.0,0,0,0,0,0,0,Electric Arc Furnace-02,1.06
421,EAF-02R8,M,306.0,315.0,1200,79.1,195.0,1,0,0,1,1,0,Electric Arc Furnace-02,4.48
